ID	Name
M1001	Review of all triage results that are relied on during the full digital forensic examination
M1002	Testing of the faraday environment to be used
M1003	Check image size corresponds with drive label
M1004	Check hash of image matches hash of source device (T1042)
M1005	Testing to ensure software and hardware setup detects HPAs
M1006	Testing to ensure software and hardware setup detects DCOs
M1007	Use hardware write blocker (T1012)
M1008	Use software write blocker (T1013)
M1009	Check hash of image matches hash of source material
M1010	Perform full extraction instead of selective
M1011	Perform full extraction instead of selective, followed by partial processing
M1012	Clear presentation of the backup and deletion process
M1013	Consider memory acquisition and offline analysis instead
M1014	Test and document changes made by the tools used
M1015	Use tools only if changes made are to locations where relevant evidence is unlikely to be located.
M1016	Alert user that the data collected is a partial set of data stored on the device
M1017	Check for physical presence of SD card
M1018	Check if presence of SD card is expected
M1019	Consider if file system acquisition is possible/permitted
M1020	Compare app data extracted with full list of installed apps
M1021	Verify the disk image integrity with multiple hash algorithms e.g. MD5 and SHA1 (Kessler 2016)
M1022	Restrict access to stored disk images
M1023	Ensure and check logs of access to stored disk images
M1024	Validate extracted key against the encrypted material before powering off the machine from which the key was extracted (e.g. Hargreaves & Chivers 2008b)
M1025	Validation & testing against the encryption system under consideration
M1026	Testing of backup parsing method
M1027	Dual tool verification
M1028	Parse app lists if available and highlight missing data
M1029	Testing of keyword indexing component of tool
M1030	Testing of retrieval of indexed content
M1031	Also using synonyms for terms used
M1032	Evaluation of the effectiveness of wordlist used for case-type searching
M1033	Prioritization of search results based on context
M1034	Comparison of index results with live search results (T1125)
M1035	Verification against second tool with known different regex implementation
M1036	Testing of regular expression component of tool
M1037	The context of relevant keyword results are manually checked
M1038	Word list selected such that a practically reviewable number of results are returned
M1039	Hash matching to reduce need for manual review
M1040	Use of AI to flag potentially relevant content to reduce need for manual review
M1041	Regular breaks to minimise investigator fatigue
M1042	Secondary review of flagged items to ensure relevance
M1043	Scan for orphaned EPTs
M1044	Scan for Volume Boot Records in unpartitioned space
M1045	Explicitly detect sector size in use
M1046	Check pointer offsets for both 512 and 4096 sectors sizes
M1047	Testing partition table parsing on standard and non-standard configurations
M1048	Check built-in integrity checks of partition tables where possible
M1049	Check consistency between primary and backup partition tables (where possible)
M1050	Manual verification of relevant data
M1051	Validation of specific file system parsing operation for the file system under consideration
M1052	Use of a second independent tool to compare live file system listing
M1053	Verification of the file system specification used as the basis for the tool development
M1054	Testing of message extraction and parsing features
M1055	Correlation of data extracted with data from service provider
M1056	Correlation of message data from third party data (another participant in message thread)
M1057	Testing of parsing of syncronisation artefacts
M1058	Checking for other confirmatory indicators of the inferred device's existence.
M1059	Ongoing research and documentation of syncronisation artefacts
M1060	Repair salvaged content by grafting different reference data onto fragment(s) (T1099)
M1061	Use digital stratigraphy to attempt to attribute data within a specific file system
M1062	Verify semantic integrity of carved content using manual inspection of relevant data
M1063	Verify semantic integrity of carved content using an automated tool
M1064	Verify that salvaged content is renderable using visual inspection of displayed/rendered content 
