Objective	Description
Find potential digital evidence sources	todo
Prioritize digital evidence sources	todo
Preserve digital evidence	todo
Acquire data	todo
Gain access	todo
Read data from digital evidence storage formats	todo
Reduce data under consideration	todo
Access partitions, volumes and file systems data	todo
Extract artifacts stored by the operating system	todo
Extract artifacts stored by applications	todo
Extract artifacts, or content of specific types	todo
Locate potentially relevant content	todo
Review content for relevance	todo
Establish identities	todo
Create visualizations	todo
Reconstruct events	todo
Conduct research	todo
Produce documentation	todo
