ID	Name
W1001	Excluding a device that contains relevant information
W1002	Use of triage technology results in changes to the target media
W1003	Triage tool applies a simplification that does not correctly represent the meaning of the digital data
W1004	Acquisition does not include all sectors from LBA0 to LBA max
W1005	Dogs fail to find a digital device
W1006	Acquistion does not include data in HPA
W1007	Acquistion does not include data in DCO
W1008	Missing the existence of a device by missing synchronisation artefacts
W1009	Missing the existence of a device by incorrectly parsing synchronisation artefacts
W1010	Misattributing activity to the wrong device
W1011	Suggesting the existence of a device that does not exist
W1012	Interaction with the target devices to read synronisation artefacts causes changes
W1013	Acquisition includes extra bytes
W1014	Imaging process changes original data
W1015	Powering on SSD results in sectors being wiped by TRIM operation
W1016	Data copied from sectors on source device are stored incorrectly
W1017	Files or data that is relevant to the investigation is missed
W1018	Data is collected that is not relevant to the investigation
W1019	Data is collected and assigned to incorrect device
W1020	Content of data collected is incorrect
W1021	Metadata of data collected is missing
W1022	Metadata of data collected is incorrect
W1023	Collection process changes content of data on target
W1024	Collection process changes metadata of data on target
W1025	Data relevant to the case is excluded as part of the filtering process
W1026	Selective extraction of a backup implies partial collection when it is in reality a full collection followed by deletion.
W1027	Including data that was meant to be excluded with the selected filters
W1028	Due to the use of time based filters data extracted may be presented out of context
W1029	Memory smearing may result in pointers being inconsistent within the memory image
W1030	Loading a memory imaging tool makes changes to the data in memory that is being acquired
W1031	Loading a memory imaging tool overwrites relevant data within memory
W1032	Not all memory is acquired
W1033	Data referenced in memory is located within pagefile or swapfile but is not collected
W1034	Missing data from the live system due to compromised machine (e.g. rootkit)
W1035	Collecting incorrect information from live system due to compromised machine (e.g. rootkit)
W1036	Overwriting relevant data with changes caused by running the live tools
W1037	Presenting data as complete, that is in reality a partial set
W1038	Backup process returns an incomplete set of backup data
W1039	Backup data collection overwrites important data
W1040	Not considering SD Card acquisition in addition to backup
W1041	Not considering file system acquisition as alternative
W1042	Disk image was tampered with, but manipulated to have a collision with original hash
W1043	Data is written to forensic format that does not preserve the original raw data
W1044	Failing to extract a decryption key that is present
W1045	Extracting an incorrect decryption key
W1046	File not recovered from the stored backup
W1047	File recovered from backup that did not exist
W1048	File recovered from backup but presented in the wrong location
W1049	File content recovered incorrectly from backup
W1050	Failure to highlight that there are other apps present for which data is not available
W1051	Failure to highlight that not all app data may be present in a backup
W1052	Incorrect retrieval of results from an index
W1053	Incorrect parsing of a supplied regular expression used for keyword searching
W1054	Data not indexed for keyword searching due to text encoding
W1055	Data not indexed for keyword searching due to missing substring feature
