ID	Name	INCOMP	INAC-EX	INAC-AS	INAC-ALT	INAC-COR	MISINT
W1001	Excluding a device that contains relevant information	x					
W1002	Use of triage technology results in changes to the target media				x		
W1003	Triage tool applies a simplification that does not correctly represent the meaning of the digital data		x	x			x
W1004	Acquisition does not include all sectors from LBA0 to LBA max	x					
W1005	Dogs fail to find a digital device	x					
W1006	Acquistion does not include data in HPA	x					
W1007	Acquistion does not include data in DCO	x					
W1008	Missing the existence of a device by missing synchronisation artefacts	x					
W1009	Missing the existence of a device by incorrectly parsing synchronisation artefacts	x					
W1010	Misattributing activity to the wrong device			x			
W1011	Suggesting the existence of a device that does not exist		x				
W1012	Interaction with the target devices to read synronisation artefacts causes changes				x		
W1013	Acquisition includes extra bytes		x				
W1014	Imaging process changes original data				x		
W1015	Powering on SSD results in sectors being wiped by TRIM operation	x			x	x	
W1016	Data copied from sectors on source device are stored incorrectly				x	x	
W1017	Files or data that is relevant to the investigation is missed	x					
W1018	Data is collected that is not relevant to the investigation			x			
W1019	Data is collected and assigned to incorrect device			x			
W1020	Content of data collected is incorrect				x		
W1021	Metadata of data collected is missing	x					
W1022	Metadata of data collected is incorrect				x		
W1023	Collection process changes content of data on target				x	x	
W1024	Collection process changes metadata of data on target				x	x	
W1025	Data relevant to the case is excluded as part of the filtering process	x					
W1026	Selective extraction of a backup implies partial collection when it is in reality a full collection followed by deletion.						x
W1027	Including data that was meant to be excluded with the selected filters			x			
W1028	Due to the use of time based filters data extracted may be presented out of context			x			
W1029	Memory smearing may result in pointers being inconsistent within the memory image			x		x	
W1030	Loading a memory imaging tool makes changes to the data in memory that is being acquired				x		
W1031	Loading a memory imaging tool overwrites relevant data within memory	x					
W1032	Not all memory is acquired	x					
W1033	Data referenced in memory is located within pagefile or swapfile but is not collected	x					
W1034	Missing data from the live system due to compromised machine (e.g. rootkit)	x					
W1035	Collecting incorrect information from live system due to compromised machine (e.g. rootkit)		x	x			
W1036	Overwriting relevant data with changes caused by running the live tools		x	x			
W1037	Presenting data as complete, that is in reality a partial set						x
W1038	Backup process returns an incomplete set of backup data	x					
W1039	Backup data collection overwrites important data	x			x		
W1040	Not considering SD Card acquisition in addition to backup	x					
W1041	Not considering file system acquisition as alternative	x					
W1042	Disk image was tampered with, but manipulated to have a collision with original hash					x	
W1043	Data is written to forensic format that does not preserve the original raw data				X		
W1044	Failing to extract a decryption key that is present	X					
W1045	Extracting an incorrect decryption key		X				
W1046	File not recovered from the stored backup	X					
W1047	File recovered from backup that did not exist		X				
W1048	File recovered from backup but presented in the wrong location			X			
W1049	File content recovered incorrectly from backup				X		
W1050	Failure to highlight that there are other apps present for which data is not available						X
W1051	Failure to highlight that not all app data may be present in a backup						X
W1052	Incorrect retrieval of results from the index	X	X	X			
W1053	Incorrect parsing of a regular expression	X	X	X			
W1054	Data not indexed due to text encoding	X					
W1055	Data not indexed due to missing substring feature	X					
W1056	Data not indexed due to case sensitivity problem	X					
W1057	Relevant results not captured by the keyword or keyword list used	X					
W1058	Results appear in an ‘artefact’ or ‘result’ but the context, source or provenance of result is unclear						X
W1059	Excessive results returned such that careful review of all results is impractical	X					
W1060	A relevant piece of media was not flagged as relevant	X		X			
W1061	An irrelevant piece of media was flagged as relevant			X			
W1062	The grade or specific tag given to item is incorrect			X			
W1063	Incorrectly parsing the partitions table(s)	X	X				
W1064	Making incorrect assumptions about sector size e.g. 512 rather than 4096	X					
W1065	Failing to correctly parse start sector pointers from partition tables	X	X				
W1066	Missing deleted but recoverable partitions 	X					
W1067	Failure to check the integrity of partition table (where possible e.g. GPT)					X	
W1068	Failing to identify the existence of a live file	X					
W1069	Failing to identify the existence of a live directory	X					
W1070	Failing to recover the complete contents of a live file	X					
W1071	Failing to recover a complete listing of a live directory	X					
W1072	Recovering incorrect contents of a live file				X		
W1073	Recovering an incorrect listing of a live directory				X		
W1074	Attributing a file to the wrong directory			X			
W1075	Presenting a file that does not exist		X				
W1076	Presenting a directory that does not exist		X				
W1077	Presenting a deleted file as a live file			X			X
W1078	Presenting a live file as deleted			X			X
W1079	Recovering incorrect metadata about a file				X		
W1080	Recovering incorrect metadata about a directory				X		
W1081	Failing to recover file system metadata	X					
W1082	Recovering file system metadata incorrectly				X		
W1083	Failure to recover additional specialised file system specific content e.g. Alternate Data Streams	X					
W1084	Failure to correctly recover specialised file system specific content e.g. Alternate Data Streams				X		
W1085	Missing messages from the live set of messages	X					
W1086	Failing to recover deleted but recoverable messages	X					
W1087	Presenting a live message that did not exist		X				
W1088	Presenting a deleted message that did not exist		X				
W1089	Recovering a live message with incorrect content				X		
W1090	Recovering a live message with incorrect metadata				X		
W1091	Recovering a deleted message with incorrect content				X		
