ID	Name	Description	Synonyms
T1001	Triage	Digital forensic triage is a partial forensic examination conducted under (significant) time and resource constraints. (Roussev et al 2013).	[]
T1002	Disk imaging	Copying of sectors from a storage media, typically LBA0 to LBAmax into an imaging format. The could be from a traditional hard disk, SSD, USB stick, or data from an eMMC chip that has been desoldered and placed in a reader. 	[]
T1003	Memory imaging	Involves creating a copy of the live memory data of a running system	['RAM dump', 'RAM imaging', 'memory dump']
T1004	Selective data acquisition	Previewing a data source and selecting a subset of the data for collection into a container such as a tar/zip file or a forensic image format.	['Logical imaging']
T1005	Crime scene searching	TODO	[]
T1006	Digital sniffer dogs	The use of canines to locate obscured digital storage devices.	['Digital Storage Device Dogs']
T1007	SyncTriage-based approach	A technique developed in Hargreaves & Marshall (2018) whereby synchronisation artefacts on a device are examined and used to identify the existence of a related device. Also sometimes used to infer activity that occurred on an inaccessible or unavailable device. 	[]
T1008	Profiling network traffic		[]
T1009	Locate cloud account identifiers		[]
T1010	Place device in faraday environment	Place a device in an environment designed to shield a mobile phone or small digital device from radio waves entering the environment and reaching the device, and to stop radio waves escaping from the environment (adapted from Lennox-Steele & Nisbet (2016))	[]
T1011	Evidence bags		[]
T1012	Hardware write blockers	A hardware write blocking device [should] prevent any change to data in the user area of a hard drive while allowing access to all data on a hard drive. (Lyle 2006)	[]
T1013	Software write blockers	Use of a software-based tool that prevents a computer from writing to computer storage media connected to it (NIST 2006)	[]
T1014	Chain of custody documentation		[]
T1015	Privacy preserving selective extraction	Previewing a data source and selecting a subset of the data for collection into a container such as a tar/zip file or a forensic image format for the purposes of protecting the privacy of the complainant or witness.	[]
T1016	Live data collection	Running commands on a live system to collect specific pieces of information e.g. running processes or open ports	[]
T1017	Network packet capture		[]
T1018	Remote data collection		[]
T1019	Mobile backup extraction	Using the backup capability of the device to extract data from a mobile device (todo better definition)	[]
T1020	Mobile file system extraction	Accessing the file system(s) of the device and extracting a set of files (full or partial depending on level of access)	[]
T1022	Mobile device screenshot based capture	An examiner directly manipulates the target mobile device using the device's input interface (i.e., keypads and buttons), and records the content shown on the display of the device. (Fukami et al 2021)	[]
T1023	Cloud data collection using account details		[]
T1024	Cloud data collection via request		[]
T1025	Writing data to a forensic image format	Storage of data recovered from a digital device. Popular formats are RAW, EWF, AFF4 and some proprietary logical formats from other tool vendors. 	['Disk image container', 'image file']
T1026	Writing data in standard archive format	Storing acquired data in a standard archive format such as rar, tar or zip	[]
T1027	Data read using JTAG		[]
T1028	Chip-off		[]
T1029	Data read from desoldered eMMC		[]
T1030	Data read from unmanaged NAND		[]
T1031	Key recovery from memory	This describes the technique whereby an attempt is made to extract key material from memory, or a memory acquisition of a running system to fascinate the decryption of some data 	[]
T1032	Side channel		[]
T1033	Extraction of account details from an accessible device		[]
T1034	Brute force attack	A brute force attack, or exhaustive search is a password cracking approach where every combination of characters is tested until the correct one is found. This method is "guaranteed to work" given infinite time and resources which in a real-life scenario is not feasible.	['exhaustive password search']
T1035	Dictionary attack	A dictionary attack is a password cracking technique where an attacker uses a list of passwords, called a dictionary, to attempt to guess a password.	[]
T1036	Smudge attack		[]
T1037	Obtain password from suspect		[]
T1038	Rainbow tables		[]
T1039	App downgrade	Downgrading an app to a version in which data is available e.g. via a backup method	[]
T1040	Use mobile device exploit	A process that typically exploits a security flaw in a specific device or operating system to enable users to perform higher privileged functions on a device (derived from Grover 2013)	[]
T1041	Pin2Pwn		[]
T1042	Disk image hash verification	Computing the hash function of the entire contents of a disk, recording it, and then subsequently computing the hash over any disk image created to detect if any content is different (adapted from Lyle 2002)	[]
